symbol	timestamp	timeframe	open	high	low	close
XAUUSD	2026.02.26 12:00	4H	5186.47	5190.20	5157.78	5166.24
XAUUSD	2026.02.26 16:00	4H	5166.04	5192.83	5130.65	5167.24
XAUUSD	2026.02.26 20:00	4H	5167.24	5191.03	5160.91	5190.85
XAUUSD	2026.02.27 00:00	4H	5176.31	5194.51	5173.06	5194.00
XAUUSD	2026.02.27 04:00	4H	5194.02	5200.37	5173.74	5197.83
XAUUSD	2026.02.27 08:00	4H	5197.83	5199.15	5172.24	5175.99
XAUUSD	2026.02.27 12:00	4H	5175.99	5240.60	5168.70	5223.13
XAUUSD	2026.02.27 16:00	4H	5223.13	5257.98	5213.95	5234.71
XAUUSD	2026.02.27 20:00	4H	5234.71	5281.03	5222.59	5278.77
XAUUSD	2026.03.02 00:00	4H	5363.14	5393.50	5302.81	5325.04
XAUUSD	2026.03.02 04:00	4H	5325.04	5367.23	5316.79	5366.11
XAUUSD	2026.03.02 08:00	4H	5366.11	5419.26	5363.50	5392.09
XAUUSD	2026.03.02 12:00	4H	5392.18	5416.72	5375.51	5393.94
XAUUSD	2026.03.02 16:00	4H	5393.94	5395.27	5260.77	5306.86
XAUUSD	2026.03.02 20:00	4H	5306.91	5346.37	5289.61	5321.06
XAUUSD	2026.03.03 00:00	4H	5321.06	5379.88	5321.06	5339.35
XAUUSD	2026.03.03 04:00	4H	5339.35	5375.60	5305.41	5319.19
XAUUSD	2026.03.03 08:00	4H	5319.17	5335.93	5226.29	5275.08
XAUUSD	2026.03.03 12:00	4H	5275.08	5288.13	5075.28	5156.73
XAUUSD	2026.03.03 16:00	4H	5156.73	5175.60	4995.97	5079.25
XAUUSD	2026.03.03 20:00	4H	5079.25	5149.04	5079.25	5087.98
XAUUSD	2026.03.04 00:00	4H	5087.98	5178.62	5084.39	5175.10
XAUUSD	2026.03.04 04:00	4H	5175.10	5191.09	5141.03	5160.07
XAUUSD	2026.03.04 08:00	4H	5160.07	5185.02	5122.39	5182.34
XAUUSD	2026.03.04 12:00	4H	5182.34	5206.14	5156.27	5167.96
XAUUSD	2026.03.04 16:00	4H	5167.96	5185.18	5120.33	5141.12
XAUUSD	2026.03.04 20:00	4H	5141.12	5146.78	5108.83	5140.02
XAUUSD	2026.03.05 00:00	4H	5140.17	5186.54	5140.17	5172.73
XAUUSD	2026.03.05 04:00	4H	5172.69	5195.01	5148.40	5148.62
XAUUSD	2026.03.05 08:00	4H	5148.62	5180.61	5120.65	5161.03
XAUUSD	2026.03.05 12:00	4H	5160.96	5171.53	5083.30	5118.07
XAUUSD	2026.03.05 16:00	4H	5118.07	5130.06	5054.36	5062.95
XAUUSD	2026.03.05 20:00	4H	5062.93	5094.80	5050.88	5081.55
XAUUSD	2026.03.06 00:00	4H	5081.57	5143.94	5066.50	5134.76
XAUUSD	2026.03.06 04:00	4H	5134.75	5141.53	5114.39	5117.40
XAUUSD	2026.03.06 08:00	4H	5117.40	5123.25	5083.39	5085.80
XAUUSD	2026.03.06 12:00	4H	5085.80	5131.07	5062.82	5085.19
XAUUSD	2026.03.06 16:00	4H	5085.19	5171.78	5080.99	5140.76
XAUUSD	2026.03.06 20:00	4H	5140.76	5176.07	5138.68	5171.92
XAUUSD	2026.03.09 00:00	4H	5129.95	5135.55	5014.71	5070.10
XAUUSD	2026.03.09 04:00	4H	5070.10	5140.61	5055.43	5124.35
XAUUSD	2026.03.09 08:00	4H	5124.35	5134.13	5087.10	5105.30
XAUUSD	2026.03.09 12:00	4H	5105.30	5112.14	5067.36	5074.14
XAUUSD	2026.03.09 16:00	4H	5074.14	5116.12	5061.04	5096.03
XAUUSD	2026.03.09 20:00	4H	5096.03	5148.16	5092.53	5138.19
XAUUSD	2026.03.10 00:00	4H	5153.02	5186.26	5124.65	5184.35
XAUUSD	2026.03.10 04:00	4H	5184.34	5187.08	5154.37	5178.01
XAUUSD	2026.03.10 08:00	4H	5178.04	5195.15	5158.58	5182.58
XAUUSD	2026.03.10 12:00	4H	5182.59	5228.68	5156.55	5205.61
XAUUSD	2026.03.10 16:00	4H	5205.61	5238.55	5185.41	5227.60
XAUUSD	2026.03.10 20:00	4H	5227.60	5228.12	5160.75	5191.41
XAUUSD	2026.03.11 00:00	4H	5189.20	5223.29	5186.83	5208.54
XAUUSD	2026.03.11 04:00	4H	5208.54	5220.52	5190.63	5199.72
XAUUSD	2026.03.11 08:00	4H	5199.72	5210.82	5175.44	5187.78
XAUUSD	2026.03.11 12:00	4H	5187.79	5196.53	5149.28	5176.91
XAUUSD	2026.03.11 16:00	4H	5176.91	5196.28	5154.94	5169.87
XAUUSD	2026.03.11 20:00	4H	5169.86	5183.58	5169.25	5175.35
XAUUSD	2026.03.12 00:00	4H	5178.97	5183.57	5125.61	5168.58
XAUUSD	2026.03.12 04:00	4H	5168.58	5175.17	5137.19	5154.58
XAUUSD	2026.03.12 08:00	4H	5154.57	5190.36	5147.24	5188.23
XAUUSD	2026.03.12 12:00	4H	5188.23	5191.70	5146.09	5151.24
XAUUSD	2026.03.12 16:00	4H	5151.24	5163.68	5102.53	5105.37
XAUUSD	2026.03.12 20:00	4H	5105.37	5112.61	5055.00	5079.21
XAUUSD	2026.03.13 00:00	4H	5077.33	5124.29	5073.02	5124.20
XAUUSD	2026.03.13 04:00	4H	5124.20	5128.53	5098.41	5103.21
XAUUSD	2026.03.13 08:00	4H	5103.21	5107.91	5061.53	5089.61
XAUUSD	2026.03.13 12:00	4H	5089.61	5121.84	5079.88	5101.74
XAUUSD	2026.03.13 16:00	4H	5101.74	5108.03	5019.04	5046.47
XAUUSD	2026.03.13 20:00	4H	5046.47	5051.82	5009.66	5018.98
XAUUSD	2026.03.16 00:00	4H	5016.23	5031.05	4967.62	5016.03
XAUUSD	2026.03.16 04:00	4H	5016.03	5026.29	4997.92	5017.51
XAUUSD	2026.03.16 08:00	4H	5017.51	5036.17	4972.74	4975.36
XAUUSD	2026.03.16 12:00	4H	4975.36	5034.43	4970.11	5029.85
XAUUSD	2026.03.16 16:00	4H	5029.85	5038.06	4974.03	4991.29
XAUUSD	2026.03.16 20:00	4H	4991.29	5021.61	4989.99	5005.73
XAUUSD	2026.03.17 00:00	4H	5008.08	5027.97	4994.71	5027.91
XAUUSD	2026.03.17 04:00	4H	5027.88	5044.53	5019.94	5020.76
XAUUSD	2026.03.17 08:00	4H	5020.83	5029.65	5005.34	5010.52
XAUUSD	2026.03.17 12:00	4H	5010.52	5031.46	4992.00	5016.62
XAUUSD	2026.03.17 16:00	4H	5016.62	5020.56	4973.51	5002.48
XAUUSD	2026.03.17 20:00	4H	5002.48	5009.07	4996.42	5005.87
XAUUSD	2026.03.18 00:00	4H	5005.63	5015.99	4991.25	4998.66
XAUUSD	2026.03.18 04:00	4H	4998.92	5007.00	4981.79	4989.97
